preprocessedSmiles;Molecule ChEMBL ID;y_true_label
CCc1ccc(OC(C)CCOc2ccc(CCC(=O)O)c(C)c2)c(-c2nccs2)c1;CHEMBL400024;0
Cc1oc(-c2ccccc2)nc1CCOc1ccc(OC(C)(C)C(=O)O)cc1;CHEMBL66206;0
Cc1oc(-c2ccccc2)nc1CCOc1ccc(OC(C)C(=O)O)cc1;CHEMBL64972;0
Cc1oc(-c2cccc(Cl)c2)nc1CCOc1cccc(CC2C(=O)N(c3ccc(C(C)(C)C)cc3)C2C(=O)O)c1;CHEMBL429734;1
Cc1ccc(Oc2ccc(OC(C)(C)C(=O)O)c(C)c2)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F;CHEMBL237519;1
CCc1cc(Oc2cc(F)cc(C(C)NC(=O)c3c(C)c4cc(Cl)ccc4n3C)c2)ccc1CCC(=O)O;CHEMBL238357;1
CCCc1cc(C(=O)c2ccc(F)cc2)ccc1OCCCOc1ccc2c(ccn2CC(=O)O)c1;CHEMBL425766;1
CCCc1cc(C2CCCC2)ccc1OCCCOc1cccc(-c2oc(=O)[nH]c2O)c1;CHEMBL2037184;0
CN(CCOc1ccc(Cc2sc(=O)[nH]c2O)cc1)c1nc2ccccc2s1;CHEMBL339359;0
CCCc1c(OCCCN(C)c2ccc(CC(=O)O)cc2)ccc2c(C(F)(F)F)noc12;CHEMBL207019;0
CCc1ccc(OC(C)CCOc2ccc(CCC(=O)O)c(C)c2)c(-c2cocn2)c1;CHEMBL241298;1
Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)n(C)c2=O)cc1C;CHEMBL344282;0
CCCc1c(OCCCN(C)c2ccc(CC(=O)O)cc2C)ccc2c(C(F)(F)F)noc12;CHEMBL209563;1
O=C(O)c1ccc(NCc2c(-c3c(Cl)cccc3C(F)(F)F)noc2-c2cc[nH]c2)cc1;CHEMBL4522217;0
Cc1c(C(=O)c2ccc(Cl)cc2)c2ccc(OC(F)(F)F)cc2n1Cc1cccc(OC(C)C(=O)O)c1;CHEMBL461571;1
COC(Cc1ccc(OCCc2nc(-c3cc(C)cc(C)c3)oc2C)c2ccsc12)C(=O)O;CHEMBL484138;1
Cc1c(C(=O)c2ccc(Cl)cc2)c2ccc(OC(F)(F)F)cc2n1Cc1cccc(OC(C(=O)O)C(C)C)c1;CHEMBL564902;1
CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1;CHEMBL5207130;1
CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4I)ccc3o2)cc1;CHEMBL5207464;1
Cc1cc(N2CCOCC2)cnc1NC(=O)c1cc(C(=O)NCc2ccc(F)c(F)c2)c(F)cc1Cl;CHEMBL5271038;1
O=C(NCc1ccccc1)c1cc(Cl)c(Cl)c(C(=O)Nc2ccccc2)c1;CHEMBL5289955;1
O=C(NCc1ccccc1)c1cc(C(=O)Nc2ccccc2)c(Cl)cc1F;CHEMBL5287868;1
Cc1cccnc1NC(=O)c1cc(C(=O)NCc2ccc(F)c(F)c2)c(F)cc1Cl;CHEMBL5277957;1
Cc1cc(C2COC2)cnc1NC(=O)c1cc(C(=O)NCc2ccc(F)c(F)c2)c(F)cc1Cl;CHEMBL5282503;1
CC(C)(O)c1ccc(NC(=O)c2cc(C(=O)NCc3ccc(F)c(F)c3)c(F)cc2Cl)cc1;CHEMBL5286386;1
O=C(O)c1ccc(-c2nc(C(=O)c3c(Cl)cccc3C(F)(F)F)n3cccnc23)cc1;CHEMBL3598143;0
COc1cccc(CC(=O)N2Cc3ccc(S(=O)(=O)Nc4cnn(C5CCC5)n4)cc3C2)c1;CHEMBL3613709;0
CCCc1ccccc1OCCCOc1cccc(-c2oc(=O)[nH]c2O)c1;CHEMBL122417;1
CC1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCCCC4)cc3Cl)cc2O1;CHEMBL179452;0
Cc1oc(-c2ccccc2)nc1CCOc1ccc(Cc2c(C(=O)O)nnn2-c2ccccc2)cc1;CHEMBL514174;0
Cc1oc(-c2ccccc2)nc1CCOc1cccc(-c2nn(-c3ccccc3)nc2C(=O)O)c1;CHEMBL474551;1
COc1ccc2c(c1)c(Cc1ccccc1OC(C)(C)C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1;CHEMBL179604;1
COc1ccc(C(=O)n2c(C)c(Cc3ccccc3OC(C)C(=O)O)c3cc(OC(F)(F)F)ccc32)cc1;CHEMBL182100;1
CCCCNC(=O)NS(=O)(=O)c1ccc(NC(=O)Cn2c(C)nc3ccccc3c2=O)cc1;CHEMBL4089408;1
